age,gender,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
open,men,0,23:48:02,279,1,RUS,Panov,Dmitriy,RUS,Andreykin,Alexey,,,,,,
open,mixed,0,23:35:32,274,2,RUS,Miroshkin,Nikolay,RUS,Miroshkin,Sergey,RUS,Korobko,Anna,RUS,Shemyatikhin,Dmitriy
open,men,0,23:49:07,261,3,RUS,Tonis,Alexander,RUS,Petukhov,Oleg,,,,,,
open,mixed,0,23:53:36,261,4,RUS,Manzhay,Igor,RUS,Zimina,Natalia,RUS,Yakimov,Semyon,,,
open,men,0,23:11:14,223,5,RUS,Volkov,Michail,RUS,Zababurkin,Pavel,RUS,Zavgorodniy,Boris,,,
open,men,0,23:36:09,222,6,RUS,Токарев,Алексей,RUS,Кравцов,Дмитрий,,,,,,
open,men,0,23:47:46,218,7,RUS,Розов,Александр,RUS,Замараев,Дмитрий,,,,,,
veteran,men,0,23:18:40,214,8,RUS,Димитров,Борис,RUS,Анисимов,Вадим,,,,,,
open,women,0,23:46:56,211,9,RUS,Menshova,Ekaterina,RUS,Veselkova,Darya,,,,,,
veteran,mixed,0,23:42:21,207,10,RUS,Савченко,Вячеслав,RUS,Михеева,Нина,,,,,,
open,men,0,23:35:34,203,11,RUS,Куликов,Роман,RUS,Пикуз,Сергей,,,,,,
veteran,men,0,23:28:20,202,12,RUS,Константинов,Сергей,RUS,Цветков,Антон,,,,,,
veteran,mixed,0,22:33:58,199,13,RUS,Ширнин,Виктор,RUS,Ширнина,Татьяна,,,,,,
open,men,0,23:03:17,197,14,RUS,Сметана,Станислав,RUS,Тамазишвили,Леван,,,,,,
veteran,men,0,23:05:30,197,15,RUS,Казанцев,Дмитрий,RUS,Смазнев,Сергей,,,,,,
veteran,mixed,11,24:10:54,192,16,RUS,Сафонов,Александр,RUS,Сафонова,Ирина,,,,,,
veteran,men,0,23:40:08,191,17,RUS,Муртазин,Леонид,RUS,Волков,Александр,,,,,,
open,mixed,0,23:56:59,189,18,RUS,Розанов,Павел,RUS,Суртаева,Екатерина,,,,,,
open,men,0,22:55:53,187,19,RUS,Рощин,Роман,RUS,Колесов,Сергей,,,,,,
open,mixed,0,23:22:22,179,20,RUS,ВИШНЯКОВ,НИКИТА,RUS,КУЗЬМИНА,МАРЕАМИЯ,,,,,,
veteran,men,0,23:36:40,178,21,RUS,Чёрный,Михаил,RUS,Концевой,Анатолий,RUS,Максимов,Владимир,,,
superveteran,men,0,22:18:45,176,22,RUS,Комин,Игорь,RUS,Черкесов,Сергей,,,,,,
superveteran,mixed,0,23:54:16,176,23,RUS,ЖЕГУСОВ,ОЛЕГ,RUS,БОЙКО,АННА,,,,,,
open,mixed,0,22:57:20,174,24,RUS,Червяков,Александр,RUS,Зайцева,Татьяна,,,,,,
veteran,women,0,23:44:07,171,25,RUS,Cvetkova,Evgenia,RUS,Davydova,Yulia,,,,,,
open,mixed,0,23:29:17,170,26,RUS,Брычев,Павел,RUS,Брычева,Татьяна,,,,,,
open,men,0,23:47:55,168,27,RUS,Власов,Эдуард,RUS,Купыров,Вячеслав,,,,,,
superveteran,men,0,23:07:41,160,28,RUS,Самойлов,Алексей,RUS,Белкин,Сергей,,,,,,
superveteran,men,0,22:24:23,158,29,RUS,Паутов,Сергей,RUS,Борзунов,Виктор,,,,,,
open,mixed,0,23:40:04,156,30,RUS,Иванов,Марк,RUS,Прусская,Людмила,,,,,,
open,mixed,0,22:38:08,155,31,RUS,Петухова,Дарья,RUS,Благов,Максим,,,,,,
superveteran,men,0,23:30:56,142,32,RUS,Бакшеев,Александр,RUS,Коростылев,Сергей,RUS,Караганов,Вадим,,,
open,men,0,23:28:44,136,33,RUS,Пинягин,Павел,RUS,Генинг,Валерий,,,,,,
veteran,women,0,22:21:39,133,34,RUS,Белых,Елена,RUS,Смазнева,Александра,,,,,,
veteran,mixed,0,22:55:09,128,35,RUS,Белоногов,Андрей,RUS,Фролова,Ольга,,,,,,
veteran,mixed,0,23:08:09,128,36,RUS,Ворончихин,Владимир,RUS,Векслер,Юлия,,,,,,
open,women,0,19:00:32,123,37,RUS,Сорокина,Нигина,RUS,Ковалева,Екатерина,,,,,,
veteran,mixed,0,23:40:00,122,38,RUS,Лябзин,Степан,RUS,Лябзина,Татьяна,,,,,,
open,mixed,0,22:36:17,117,39,RUS,Тумашева,Анна,RUS,Полоцкий,Владлен,,,,,,
open,mixed,0,18:42:23,114,40,RUS,Лукьянов,Илья,RUS,Долгая,Юлия,RUS,Градунцов,Максим,,,
open,men,0,23:03:07,113,41,RUS,Власов,Юрий,RUS,Турубаров,Александр,,,,,,
veteran,mixed,0,22:55:25,107,42,RUS,Селюминов,Геннадий,RUS,Гладкова,Светлана,,,,,,
open,mixed,0,23:04:06,107,43,RUS,Зубалий,Анастасия,RUS,Дорохин,Андрей,,,,,,
superveteran,mixed,0,22:26:40,103,44,RUS,Лавринович,Ольга,RUS,Ившин,Олег,,,,,,
open,mixed,0,20:51:38,88,45,RUS,Дорошенко,Валерий,RUS,Масхадова,Амина,,,,,,
veteran,women,0,18:40:11,82,46,RUS,Кузьмина,Ольга,RUS,Пискунова,Ольга,,,,,,
open,mixed,0,21:04:34,76,47,RUS,Хныкин,Антон,RUS,Гафарова,Елена,,,,,,
youth,mixed,0,22:03:58,72,48,RUS,Лябзина,Александра,RUS,Зырянов,Илья,,,,,,
open,mixed,0,9:20:42,67,49,RUS,Сорокин,Андрей,RUS,Бандурова,Наталья,,,,,,
ultraveteran,mixed,0,10:33:06,28,50,RUS,Наздрюхин,Сергей,RUS,Харитонова,Валентина,,,,,,
